"iso3","country","tech","supply_chain","base_score","base_index","score_v0"
"ARE","United Arab Emirates","Batteries","Midstream",5.87237733296209,0.346325310758122,5.87237733296209
"ARE","United Arab Emirates","Batteries","Upstream",0.0576999767266288,0.381652415139671,0.0576999767266288
"ARE","United Arab Emirates","Coal","Midstream",3.49077094300101,0.461032348500033,3.49077094300101
"ARE","United Arab Emirates","Coal","Upstream",0.218943413673351,0.327130569386711,0.218943413673351
"ARE","United Arab Emirates","Electric Grid","Midstream",7.45674002612479,0.414213562373095,7.45674002612479
"ARE","United Arab Emirates","Electric Grid","Upstream",0.0576999767266288,0.286534599922644,0.0576999767266288
"ARE","United Arab Emirates","Electric Vehicles","Midstream",8.12908740577753,0.391830392191218,8.12908740577753
"ARE","United Arab Emirates","Electric Vehicles","Upstream",0.0576999767266288,0.381652415139671,0.0576999767266288
"ARE","United Arab Emirates","Gas","Midstream",4.19998175241574,0.41171425595858,4.19998175241574
"ARE","United Arab Emirates","Gas","Upstream",0.955547936851221,0.301572466785708,0.955547936851221
"ARE","United Arab Emirates","Nuclear","Midstream",5.53954640825527,0.496478698597696,5.53954640825527
"ARE","United Arab Emirates","Nuclear","Upstream",0.0576999767266288,0.381652415139671,0.0576999767266288
"ARE","United Arab Emirates","Oil","Midstream",4.8440709804817,0.426529361233194,4.8440709804817
"ARE","United Arab Emirates","Oil","Upstream",0.860402823064648,0.275887238151612,0.860402823064648
"ARE","United Arab Emirates","Semiconductors","Midstream",7.86981138919792,0.465108693995177,7.86981138919792
"ARE","United Arab Emirates","Semiconductors","Upstream",0.0576999767266288,0.381652415139671,0.0576999767266288
"ARE","United Arab Emirates","Solar","Midstream",6.22067387504503,0.428571428571429,6.22067387504503
"ARE","United Arab Emirates","Solar","Upstream",0.0576999767266288,0.381652415139671,0.0576999767266288
"ARE","United Arab Emirates","Wind","Midstream",5.97352351956332,0.416666666666667,5.97352351956332
"ARE","United Arab Emirates","Wind","Upstream",0.0576999767266288,0.381652415139671,0.0576999767266288
"ARG","Argentina","Batteries","Midstream",7.37507439113169,0.372320993031255,7.37507439113169
"ARG","Argentina","Batteries","Upstream",0.112636814470944,0.447710159851851,0.112636814470944
"ARG","Argentina","Coal","Midstream",4.01902862065684,0.475291923615912,4.01902862065684
"ARG","Argentina","Coal","Upstream",3.84395416082853,0.672869430613289,3.84395416082853
"ARG","Argentina","Electric Grid","Midstream",5.91562333179976,0.391830392191218,5.91562333179976
"ARG","Argentina","Electric Grid","Upstream",10.8180967677436,0.609128788536429,10.8180967677436
"ARG","Argentina","Electric Vehicles","Midstream",25.2343146389532,0.696167565299313,25.2343146389532
"ARG","Argentina","Electric Vehicles","Upstream",0.112636814470944,0.447710159851851,0.112636814470944
"ARG","Argentina","Gas","Midstream",8.45249292645714,0.510278314126354,8.45249292645714
"ARG","Argentina","Gas","Upstream",7.84442792852165,0.638426054455354,7.84442792852165
"ARG","Argentina","Nuclear","Midstream",4.09171521505022,0.453835133325407,4.09171521505022
"ARG","Argentina","Nuclear","Upstream",0.112636814470944,0.447710159851851,0.112636814470944
"ARG","Argentina","Oil","Midstream",9.34877591060771,0.51714341758675,9.34877591060771
"ARG","Argentina","Oil","Upstream",5.00982712931557,0.41677005423884,5.00982712931557
"ARG","Argentina","Semiconductors","Midstream",2.84122911219939,0.374507744271908,2.84122911219939
"ARG","Argentina","Semiconductors","Upstream",0.112636814470944,0.447710159851851,0.112636814470944
"ARG","Argentina","Solar","Midstream",6.9358277058585,0.442586160911726,6.9358277058585
"ARG","Argentina","Solar","Upstream",0.112636814470944,0.447710159851851,0.112636814470944
"ARG","Argentina","Wind","Midstream",7.40036247670961,0.438262049436262,7.40036247670961
"ARG","Argentina","Wind","Upstream",0.112636814470944,0.447710159851851,0.112636814470944
"AUS","Australia","Batteries","Midstream",23.5349186538038,0.544879231374158,23.5349186538038
"AUS","Australia","Batteries","Upstream",0.200123055882082,0.465351654086268,0.200123055882082
"AUS","Australia","Coal","Midstream",4.13644162954596,0.482372483850309,4.13644162954596
